City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Weather
0,Mayumba,-3.432,10.6554,78.35,86,60,5.37,GA,broken clouds
1,Bambous Virieux,-20.3428,57.7575,79.21,82,51,11.81,MU,broken clouds
2,Komatipoort,-25.4332,31.9548,72.05,88,58,8.28,ZA,broken clouds
3,Ridgecrest,35.6225,-117.6709,61.68,13,0,4.0,US,clear sky
4,Bluff,-46.6,168.3333,38.8,81,2,4.16,NZ,clear sky
5,Tiksi,71.6872,128.8694,-17.39,98,100,2.89,RU,overcast clouds
6,Rikitea,-23.1203,-134.9692,79.02,71,66,16.06,PF,broken clouds
7,Bredasdorp,-34.5322,20.0403,66.27,55,6,5.37,ZA,clear sky
8,Mto Wa Mbu,-3.35,35.85,71.01,80,100,5.75,TZ,light rain
9,Jamestown,42.097,-79.2353,33.53,36,0,5.01,US,clear sky
10,Hamilton,39.1834,-84.5333,38.61,62,0,1.01,US,clear sky
11,Vila Franca Do Campo,37.7167,-25.4333,65.19,86,77,12.55,PT,broken clouds
12,Norman Wells,65.282,-126.8329,-14.76,70,75,13.8,CA,broken clouds
13,Punta Arenas,-53.15,-70.9167,69.91,49,75,16.11,CL,broken clouds
14,Victoria,22.2855,114.1577,61.32,84,100,1.01,HK,overcast clouds
15,General Pico,-35.6566,-63.7568,77.49,20,1,8.32,AR,clear sky
16,Pevek,69.7008,170.3133,-24.39,99,42,1.66,RU,scattered clouds
17,Shimoda,34.6667,138.95,35.1,68,32,12.93,JP,scattered clouds
18,South Sioux City,42.4739,-96.4136,34.95,50,75,11.01,US,broken clouds
19,Severo-Kurilsk,50.6789,156.125,30.24,80,100,14.99,RU,overcast clouds
20,Nagato,34.3833,131.2,33.21,61,71,11.1,JP,broken clouds
21,Ushuaia,-54.8,-68.3,54.54,82,79,7.92,AR,broken clouds
22,Mbini,1.574,9.6134,80.19,81,26,7.38,GQ,scattered clouds
23,Kattivakkam,13.2167,80.3167,81.07,75,91,9.86,IN,overcast clouds
24,Bengkulu,-3.8004,102.2655,76.42,86,100,8.41,ID,light rain
25,Oussouye,12.485,-16.5469,84.6,30,20,9.35,SN,few clouds
26,Butaritari,3.0707,172.7902,81.3,77,63,15.21,KI,light rain
27,Kapaa,22.0752,-159.319,73.72,84,75,11.5,US,broken clouds
28,Cayhagan,9.6697,122.4256,77.27,76,98,15.48,PH,overcast clouds
29,Lazaro Cardenas,17.9583,-102.2,84.92,40,4,5.61,MX,clear sky
30,Hermanus,-34.4187,19.2345,69.91,84,12,9.35,ZA,few clouds
31,Bereda,43.2686,-7.5406,49.91,92,62,3.13,ES,broken clouds
32,Brae,60.3964,-1.353,39.11,59,98,30.53,GB,overcast clouds
33,Karratha,-20.7377,116.8463,84.2,79,33,3.33,AU,scattered clouds
34,Mount Isa,-20.7333,139.5,76.77,65,100,8.05,AU,overcast clouds
35,Albany,42.6001,-73.9662,27.63,48,16,4.0,US,few clouds
36,Qaanaaq,77.484,-69.3632,-12.26,57,60,8.59,GL,broken clouds
37,Katangli,51.7102,143.2326,4.44,87,100,14.0,RU,overcast clouds
38,Yellowknife,62.456,-114.3525,-7.58,87,75,13.8,CA,light snow
39,Mataura,-46.1927,168.8643,38.48,99,4,2.01,NZ,clear sky
40,Tateyama,34.9833,139.8667,37.42,49,46,9.1,JP,scattered clouds
41,Mar Del Plata,-38.0023,-57.5575,63.88,89,100,23.0,AR,overcast clouds
42,Mahebourg,-20.4081,57.7,79.25,82,48,12.39,MU,scattered clouds
43,Cherskiy,68.75,161.3,-30.93,100,47,1.45,RU,scattered clouds
44,Olinda,-8.0089,-34.8553,85.73,54,40,9.22,BR,scattered clouds
45,Ponta Do Sol,32.6667,-17.1,65.12,52,10,11.12,PT,clear sky
46,Hervey Bay,-25.2986,152.8535,67.03,92,83,13.0,AU,light rain
47,Nantucket,41.2835,-70.0995,32.97,69,98,4.25,US,overcast clouds
48,Damghan,36.1683,54.348,37.04,53,80,3.11,IR,broken clouds
49,Port Elizabeth,-33.918,25.5701,79.11,94,40,16.11,ZA,thunderstorm with light rain
50,Vaini,-21.2,-175.2,75.36,94,100,12.66,TO,light rain
51,Springfield,37.2153,-93.2982,44.15,55,0,5.01,US,clear sky
52,Batemans Bay,-35.7167,150.1833,64.09,89,95,7.18,AU,light rain
53,Nikolskoye,59.7035,30.7861,35.87,94,100,12.12,RU,overcast clouds
54,Bangassou,4.7413,22.8184,76.68,25,99,1.77,CF,overcast clouds
55,Castro,-24.7911,-50.0119,76.42,73,75,7.65,BR,broken clouds
56,George Town,5.4112,100.3354,78.73,92,20,0.0,MY,few clouds
57,Nishihara,26.1842,127.7558,58.28,59,100,10.36,JP,overcast clouds
58,Kyrylivka,46.3759,35.3675,37.51,78,81,16.04,UA,broken clouds
59,Kiunga,-6.1219,141.2906,72.34,100,100,2.06,PG,light rain
60,Khatanga,71.9667,102.5,-19.57,98,95,8.05,RU,overcast clouds
61,Valparaiso,-33.0393,-71.6273,67.64,72,40,14.97,CL,scattered clouds
62,Chuy,-33.6971,-53.4616,74.41,41,67,14.99,UY,broken clouds
63,Guerrero Negro,27.9769,-114.0611,64.22,29,0,1.68,MX,clear sky
64,High Rock,26.6208,-78.2833,78.82,72,27,10.04,BS,scattered clouds
65,Saint George,37.1041,-113.5841,55.87,27,0,1.99,US,clear sky
66,Avarua,-21.2078,-159.775,75.25,94,75,9.22,CK,broken clouds
67,Ust-Charyshskaya Pristan,52.3934,83.6635,-3.44,99,32,2.06,RU,scattered clouds
68,Cururupu,-1.8283,-44.8683,85.71,64,77,7.65,BR,moderate rain
69,Dunda,-8.1167,34.25,64.36,92,97,3.6,TZ,overcast clouds
70,Karaton,-6.3424,106.1045,77.16,91,96,5.39,ID,overcast clouds
71,Moa,20.6569,-74.9403,78.51,64,37,12.77,CU,scattered clouds
72,Coquimbo,-29.9533,-71.3436,69.69,68,26,6.91,CL,scattered clouds
73,Haines Junction,60.7522,-137.5108,24.75,92,90,7.56,CA,overcast clouds
74,Touros,-5.1989,-35.4608,88.7,60,33,13.42,BR,scattered clouds
75,Namatanai,-3.6667,152.4333,79.5,79,55,4.54,PG,broken clouds
76,Dingle,10.9995,122.6711,74.32,89,48,8.05,PH,scattered clouds
77,Saskylakh,71.9167,114.0833,-23.96,100,97,1.5,RU,overcast clouds
78,Atuona,-9.8,-139.0333,78.75,73,10,20.15,PF,clear sky
