City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,Mayumba,GA,78.35,broken clouds,-3.432,10.6554,LIKWALE LODGE
1,Bambous Virieux,MU,79.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
2,Komatipoort,ZA,72.05,broken clouds,-25.4332,31.9548,Kruger View Backpackers
6,Rikitea,PF,79.02,broken clouds,-23.1203,-134.9692,People ThankYou
8,Mto Wa Mbu,TZ,71.01,light rain,-3.35,35.85,Fanaka Safaris Campsite & Lodges
15,General Pico,AR,77.49,clear sky,-35.6566,-63.7568,Euskadi Hotel
23,Kattivakkam,IN,81.07,overcast clouds,13.2167,80.3167,Euronova Freezer
24,Bengkulu,ID,76.42,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
25,Oussouye,SN,84.6,few clouds,12.485,-16.5469,Auberge du Routard
26,Butaritari,KI,81.3,light rain,3.0707,172.7902,Isles Sunset Lodge
27,Kapaa,US,73.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Cayhagan,PH,77.27,overcast clouds,9.6697,122.4256,Melrose Beach Resort
29,Lazaro Cardenas,MX,84.92,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
33,Karratha,AU,84.2,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
34,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
42,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
49,Port Elizabeth,ZA,79.11,thunderstorm with light rain,-33.918,25.5701,39 On Nile Guest House
50,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
55,Castro,BR,76.42,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
56,George Town,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
59,Kiunga,PG,72.34,light rain,-6.1219,141.2906,Airport Lodge Kiunga
62,Chuy,UY,74.41,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
64,High Rock,BS,78.82,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
66,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
70,Karaton,ID,77.16,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
71,Moa,CU,78.51,scattered clouds,20.6569,-74.9403,Carmen
75,Namatanai,PG,79.5,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
76,Dingle,PH,74.32,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
78,Atuona,PF,78.75,clear sky,-9.8,-139.0333,Villa Enata
80,Cape Town,ZA,71.1,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
85,Henties Bay,,70.86,overcast clouds,-22.116,14.2845,Fishermans Guest House
88,Cap Malheureux,MU,79.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
93,Quatre Cocos,MU,79.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
97,Anloga,GH,81.9,few clouds,5.7947,0.8973,Pin Drop Hotel
98,Faanui,PF,81.16,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
100,Ampanihy,MG,73.69,moderate rain,-24.7,44.75,Angora Hotel
101,Kieta,PG,79.77,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
