City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Tasiilaq,65.6145,-37.6368,17.76,59,97,9.66,GL
1,Rikitea,-23.1203,-134.9692,79.2,73,97,10.67,PF
2,Sinnamary,5.3833,-52.95,76.59,89,78,10.94,GF
3,Bredasdorp,-34.5322,20.0403,68.29,77,83,21.85,ZA
4,Wladyslawowo,54.7909,18.4009,38.75,80,98,21.45,PL
5,Krasnoselkup,65.7,82.4667,-16.56,100,93,5.12,RU
6,Manadhoo,5.7667,73.3833,80.46,67,21,7.23,MV
7,Hoopstad,-27.8327,25.9083,65.77,72,21,12.53,ZA
8,Okhotsk,59.3833,143.3,-5.46,70,37,13.47,RU
9,Ostuni,40.7276,17.5764,51.58,84,94,9.19,IT
10,Kaitangata,-46.2817,169.8464,51.4,73,96,7.58,NZ
11,Tullow,52.8003,-6.7369,49.24,94,100,17.78,IE
12,Ushuaia,-54.8,-68.3,56.82,58,40,24.16,AR
13,Avarua,-21.2078,-159.775,80.65,89,40,17.27,CK
14,Hobart,-42.8794,147.3294,65.05,63,75,1.99,AU
15,Lagunas,-5.2269,-75.6753,84.51,63,69,4.14,PE
16,Vaini,-21.2,-175.2,77.16,100,100,12.66,TO
17,Matola,-25.9622,32.4589,70.12,97,70,8.93,MZ
18,Tiksi,71.6872,128.8694,-22.25,98,92,7.52,RU
19,Norman Wells,65.282,-126.8329,-3.66,91,98,6.67,CA
20,Puerto Ayora,-0.7393,-90.3518,77.56,87,67,5.01,EC
21,Talnakh,69.4865,88.3972,-19.05,100,99,2.37,RU
22,Terrasini,38.146,13.0844,54.46,82,0,3.44,IT
23,Saskylakh,71.9167,114.0833,-28.28,100,99,3.49,RU
24,Castro,-24.7911,-50.0119,65.62,97,74,7.09,BR
25,Necochea,-38.5473,-58.7368,61.03,68,100,20.13,AR
26,Saint-Philippe,-21.3585,55.7679,80.19,83,100,17.74,RE
27,Barrow,71.2906,-156.7887,-18.38,69,0,11.5,US
28,Kinablangan,7.6947,126.5503,78.12,84,42,6.69,PH
29,Dikson,73.5069,80.5464,-19.43,100,99,3.27,RU
30,Istria,44.5667,28.7167,41.97,83,62,13.09,RO
31,Lompoc,34.6391,-120.4579,73.71,32,0,13.8,US
32,Verkh-Chebula,56.0308,87.6218,12.63,85,100,6.17,RU
