City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sao Filipe,14.8961,-24.4956,73.13,73,0,6.13,CV,2022-02-05 00:44:49
1,Mataura,-46.1927,168.8643,55.47,40,20,3.2,NZ,2022-02-05 00:44:50
2,Rikitea,-23.1203,-134.9692,79.03,67,5,5.95,PF,2022-02-05 00:44:14
3,Kota Belud,6.351,116.4305,80.46,66,100,3.42,MY,2022-02-05 00:44:50
4,Te Anau,-45.4167,167.7167,61.32,42,6,4.79,NZ,2022-02-05 00:44:51
5,Punta Arenas,-53.15,-70.9167,51.91,62,0,3.44,CL,2022-02-05 00:44:51
6,Conde,-7.2597,-34.9075,80.06,78,20,6.91,BR,2022-02-05 00:44:51
7,Villa Carlos Paz,-31.4241,-64.4978,68.4,35,0,3.0,AR,2022-02-05 00:44:52
8,Puerto Ayora,-0.7393,-90.3518,75.54,91,70,5.01,EC,2022-02-05 00:44:15
9,Kalmunai,7.4167,81.8167,72.64,81,89,1.7,LK,2022-02-05 00:44:52
10,Mill Valley,37.906,-122.545,63.25,51,4,1.01,US,2022-02-05 00:44:53
11,Bluff,-46.6,168.3333,55.8,57,65,6.06,NZ,2022-02-05 00:44:53
12,Kendari,-3.945,122.4989,81.79,79,100,4.43,ID,2022-02-05 00:44:53
13,Poum,-20.2333,164.0167,81.52,77,97,18.57,NC,2022-02-05 00:44:54
14,Sitka,57.0531,-135.33,42.69,87,100,3.44,US,2022-02-05 00:44:54
15,Beloha,-25.1667,45.05,74.37,87,42,15.48,MG,2022-02-05 00:44:54
16,Taksimo,56.3444,114.8794,-9.2,91,64,3.0,RU,2022-02-05 00:44:55
17,Nanortalik,60.1432,-45.2371,11.86,66,100,38.52,GL,2022-02-05 00:44:55
18,Inuvik,68.3499,-133.7218,-19.19,76,0,4.61,CA,2022-02-05 00:44:56
19,Salalah,17.0151,54.0924,69.89,68,20,1.14,OM,2022-02-05 00:44:56
20,Nikolskoye,59.7035,30.7861,19.29,89,99,12.03,RU,2022-02-05 00:44:56
21,Martinsville,36.6915,-79.8725,53.42,77,100,8.05,US,2022-02-05 00:44:09
22,Hobart,-42.8794,147.3294,67.12,78,75,6.91,AU,2022-02-05 00:44:57
23,Barcelona,41.3888,2.159,55.54,85,75,4.61,ES,2022-02-05 00:42:41
24,Lebu,-37.6167,-73.65,57.79,87,51,16.91,CL,2022-02-05 00:44:57
25,Souillac,-20.5167,57.5167,80.37,86,99,17.0,MU,2022-02-05 00:44:58
